title,company,category,location,created,salary_min,salary_max,contract_type
Staplerfahrer (m/w/d),persona service AG & Co. KG • Niederlassung: Bad Hersfeld,IT-Stellen,"Bebra, Hersfeld-Rotenburg (Kreis)",2025-05-18T01:47:33Z,16,18,N/A
Senior Systems Engineer (m/w/d) – Mainframe Produktionssteuerung (m/w/d),BWI GmbH,IT-Stellen,Deutschland,2025-05-18T19:35:16Z,N/A,N/A,N/A
Systemfachkraft (m/w/d) Dokumentation Innendienst,Regionetz GmbH,IT-Stellen,Deutschland,2025-05-18T19:33:14Z,N/A,N/A,N/A
Fachinformatiker / IT-Administrator (m/w/d),CONDOK GmbH,IT-Stellen,"Kiel, Schleswig-Holstein",2025-05-18T19:33:17Z,N/A,N/A,N/A
Mitarbeiter (m/w/d) Technischer Service im Außendienst | Servicetechniker (m/w/d) | Großraum Frankfurt,Huth Elektronik Systeme GmbH,IT-Stellen,"Frankfurt am Main, Hessen",2025-05-18T19:34:38Z,N/A,N/A,N/A
Solution & Applications Architect (m/w/d),SAF-HOLLAND GmbH,IT-Stellen,"Bessenbach, Aschaffenburg (Kreis)",2025-05-18T07:31:59Z,N/A,N/A,N/A
IT Spezialist Audit /Qualitätsmanagement (m/w/x),Arvato Media GmbH,IT-Stellen,"Gütersloh, Gütersloh (Kreis)",2025-05-18T07:32:16Z,N/A,N/A,N/A
IT-Consultant Customer Solutions (m/w/d),imos AG,IT-Stellen,Deutschland,2025-05-18T07:32:46Z,N/A,N/A,N/A
IT-Security-Architect (m/w/d),PSI Software SE Grid & Energy Management,IT-Stellen,"Aachen, Aachen (Kreis)",2025-05-18T19:35:06Z,N/A,N/A,N/A
SAP BTP Consultant (m/w/d),COMLINE Computer + Softwarelösungen SE,IT-Stellen,"Nordrhein-Westfalen, Deutschland",2025-05-18T19:34:53Z,N/A,N/A,N/A
Systementwickler - Signalerfassung & Datenauswertung (m/w/d),Rheinmetall Electronics GmbH,IT-Stellen,"Bremen, Deutschland",2025-05-18T07:32:51Z,N/A,N/A,N/A
Spezialist*in IT-Sicherheit (m/w/d),Energiequelle GmbH,IT-Stellen,Deutschland,2025-05-18T07:31:50Z,N/A,N/A,N/A
"Projektleiter Netzwerk (m/w/d) IT & Automatisierung, IT-Infrastruktur",ArcelorMittal Eisenhüttenstadt GmbH,IT-Stellen,"Eisenhüttenstadt, Oder-Spree (Kreis)",2025-05-18T19:35:08Z,N/A,N/A,N/A
Senior Programmierer,KOCH Industrieanlagen GmbH,IT-Stellen,"Dernbach, Neuwied (Kreis)",2025-05-18T07:32:26Z,N/A,N/A,N/A
Industrial Cyber Security Officer*,Harting Electronics GmbH,IT-Stellen,"Espelkamp, Minden-Lübbecke (Kreis)",2025-05-18T19:34:27Z,N/A,N/A,N/A
Mitarbeiterin/Mitarbeiter (m/w/d) im Bereich IT-Administration,Generalzolldirektion,IT-Stellen,"Rostock, Mecklenburg-Vorpommern",2025-05-18T19:34:22Z,N/A,N/A,N/A
(Senior) IT-Auditor / IT-Prüfer (m/w/d),AWADO GmbH,IT-Stellen,Deutschland,2025-05-18T07:33:38Z,N/A,N/A,N/A
IT Experte - Inhouse Berater für SAP (m/w/d) Bamberg,Trench Germany GmbH,IT-Stellen,"Bamberg, Bamberg (Kreis)",2025-05-18T19:35:22Z,N/A,N/A,N/A
Werkstudent Softwareentwicklung (m/w/d),Rheinmetall,IT-Stellen,"Penzberg, Weilheim-Schongau (Kreis)",2025-05-18T19:35:09Z,N/A,N/A,N/A
Duales Studium Wirtschaftsingenieurwesen im Facility Management am Standort Bad Wimpfen,Lidl Dienstleistung GmbH & Co. KG,IT-Stellen,Deutschland,2025-05-18T07:31:35Z,N/A,N/A,N/A
Entwickler Java Boomi (m/w/d),abcfinance GmbH,IT-Stellen,"Köln, Nordrhein-Westfalen",2025-05-18T19:34:53Z,N/A,N/A,N/A
Senior Projektmanager - SAP S/4HANA (w/m/d),Schwarz Produktion Stiftung & Co. KG,IT-Stellen,Deutschland,2025-05-18T07:31:53Z,N/A,N/A,N/A
Senior Softwareentwickler – Semiconductor Optics C# (m/w/x),ZEISS,IT-Stellen,"Oberkochen, Ostalbkreis",2025-05-18T07:44:47Z,N/A,N/A,N/A
Salesforce Technical Business Analyst (m/w/d),BELFOR Europe GmbH,IT-Stellen,"Duisburg, Nordrhein-Westfalen",2025-05-18T19:34:52Z,N/A,N/A,N/A
Manager IMS (m/w/d) Integriertes Managementsystem mit Schwerpunkt Nachhaltigkeit,BLG Logistics Group AG & Co. KG,IT-Stellen,"Bremerhaven, Bremen",2025-05-18T07:38:54Z,N/A,N/A,N/A
Technischer Consultant für Daten- und Prozessintegration (m/w/d),CANCOM SE,IT-Stellen,"Köln, Nordrhein-Westfalen",2025-05-18T19:34:41Z,N/A,N/A,N/A
IT Servicetechniker DACH Region (w/m/d),Bechtle GmbH - Hamburg,IT-Stellen,Deutschland,2025-05-18T19:35:03Z,N/A,N/A,N/A
IT Expert Military IT – Serverbasierte Führungsinformationssysteme (m/w/d),BWI GmbH,IT-Stellen,Deutschland,2025-05-18T19:35:13Z,N/A,N/A,N/A
IT Systemadministrator (m/w/d),FACT IT GmbH,IT-Stellen,"Kamp-Lintfort, Wesel (Kreis)",2025-05-18T07:32:29Z,N/A,N/A,N/A
Head of IT Operations (m/w/d),Elevion GmbH,IT-Stellen,"Jena, Thüringen",2025-05-18T19:35:15Z,N/A,N/A,N/A
Mitarbeiter Vertrieb - Stammdatenpflege / SAP / CRM (m/w/d),bott GmbH & Co. KG,IT-Stellen,"Gaildorf, Schwäbisch Hall (Kreis)",2025-05-18T07:33:16Z,N/A,N/A,N/A
Senior IT-Systemadministrator - Schwerpunkt Microsoft (m/w/d) in Vollzeit,Elevion GmbH,IT-Stellen,"Dietzenbach, Offenbach (Kreis)",2025-05-18T19:45:16Z,N/A,N/A,N/A
Einkäufer Produktionsmaterial (m/w/d),persona service AG & Co. KG • Niederlassung: Leonberg,IT-Stellen,"Rutesheim, Böblingen (Kreis)",2025-05-18T01:47:33Z,45000,50000,N/A
Mitarbeiter Videoüberwachung (w/m/d) im Alarm-Center,Kooi Security Deutschland GmbH,IT-Stellen,Deutschland,2025-05-18T19:49:21Z,N/A,N/A,N/A
SAP Consultant Stammdaten (m/w/d),BAUHAUS,IT-Stellen,"Mannheim, Baden-Württemberg",2025-05-18T19:34:52Z,N/A,N/A,N/A
"SAP Inhouse Consultant (m/w/d), Schwerpunkt FSM – Field Service Management – in Voll- oder Teilzeit",Techem Energy Services GmbH,IT-Stellen,"Eschborn, Main-Taunus-Kreis",2025-05-18T19:49:37Z,N/A,N/A,N/A
ERP-Berater/Software Consultant (m/w/d),HAPEKO Deutschland GmbH,IT-Stellen,"Dortmund, Nordrhein-Westfalen",2025-05-18T19:35:09Z,N/A,N/A,N/A
Embedded Softwareentwickler (m/w/d),Metronix Meßgeräte und Elektronik GmbH,IT-Stellen,"Braunschweig, Niedersachsen",2025-05-18T19:41:36Z,N/A,N/A,N/A
SAP Senior Integration Consultant (m/w/d),BAUHAUS,IT-Stellen,"Mannheim, Baden-Württemberg",2025-05-18T19:33:41Z,N/A,N/A,N/A
Senior Software Developer Circular Economy (m/w/d) - remote,PROLOGA GmbH,IT-Stellen,Deutschland,2025-05-18T07:31:48Z,N/A,N/A,N/A
Customer Application Engineer (m/w/d) - Automatisierungstechnik,OPTIMA pharma GmbH,IT-Stellen,"Schwäbisch Hall, Schwäbisch Hall (Kreis)",2025-05-18T07:44:56Z,N/A,N/A,N/A
Senior Entwickler für Objektive (m/w/x) - befristet für 2 Jahre,ZEISS,IT-Stellen,"Jena, Thüringen",2025-05-18T07:32:33Z,N/A,N/A,N/A
Solution Architect Cybersecurity (m/w/d),Stromnetz Berlin GmbH,IT-Stellen,"Berlin, Deutschland",2025-05-18T19:34:31Z,N/A,N/A,N/A
IT-Projektleiter:in / Integrationsmanager (m/w/d),SOLCOM GmbH,IT-Stellen,"Reutlingen, Reutlingen (Kreis)",2025-05-18T19:34:55Z,N/A,N/A,N/A
"Sales Manager, Software Public Sector mit Entwicklung zum Vertriebsleiter (m/w/d)",Hays – Working for your tomorrow,IT-Stellen,"Düsseldorf, Nordrhein-Westfalen",2025-05-18T19:41:43Z,N/A,N/A,N/A
Senior Product Owner / Technical Service Owner (w/m/d),HUK-COBURG Versicherungsgruppe,IT-Stellen,"Coburg, Coburg (Kreis)",2025-05-18T07:10:24Z,N/A,N/A,N/A
OpenWRT Entwickler*in,ENQT GmbH,IT-Stellen,"Hamburg, Deutschland",2025-05-18T07:39:00Z,N/A,N/A,N/A
IT-Administrator (m/w/d),Arevipharma GmbH,IT-Stellen,"Radebeul, Meißen (Kreis)",2025-05-18T19:34:55Z,N/A,N/A,N/A
Spezialist*in IT- Schwerpunkt M365 (w/m/d),GLS Gemeinschaftsbank eG,IT-Stellen,"Bochum, Nordrhein-Westfalen",2025-05-18T19:45:38Z,N/A,N/A,N/A
IT-Systemadministrator (m/w/d),F. G. Streifeneder KG,IT-Stellen,"Emmering, Fürstenfeldbruck (Kreis)",2025-05-18T19:34:57Z,N/A,N/A,N/A
Technical Support Manager POS (m/f/d),RS2 Germany GmbH,IT-Stellen,"Neu-Isenburg, Offenbach (Kreis)",2025-05-18T19:35:12Z,N/A,N/A,N/A
Systemadministrator:in (w/m/d) mit Qualifizierung zum:zur SAP Systembetreuer:in,Technische Universität Darmstadt,IT-Stellen,"Darmstadt, Hessen",2025-05-18T19:35:02Z,N/A,N/A,N/A
"Field Application Specialist (w,m,d)",Bio-Rad Laboratories GmbH,IT-Stellen,"München, München (Kreis)",2025-05-18T19:35:05Z,N/A,N/A,N/A
Mitarbeiterin bzw. Mitarbeiter (m/w/d) Projektmanagement-Office IT-Referat,Finanzbehörde Steuerverwaltung,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:41:43Z,N/A,N/A,N/A
Softwareentwickler:in,eXXcellent solutions GmbH,IT-Stellen,"Darmstadt, Hessen",2025-05-18T19:41:29Z,N/A,N/A,N/A
Projekt- & Prozessmanager (w/m/d) - Abteilung Digital & IT,Zech Management GmbH,IT-Stellen,"Bremen, Deutschland",2025-05-18T19:34:47Z,N/A,N/A,N/A
Werkstudententätigkeit im Bereich DevOps für Software-in-the-Loop ab Juli 2025,Mercedes-Benz AG,IT-Stellen,"Sindelfingen, Böblingen (Kreis)",2025-05-18T07:38:39Z,N/A,N/A,N/A
ERP Projektmanager (m/w/d),SARIA International GmbH,IT-Stellen,"Selm, Unna (Kreis)",2025-05-18T19:43:30Z,N/A,N/A,N/A
Sachbearbeitung /m/w/d) IT Support 2nd Level,Stadt Bietigheim-Bissingen,IT-Stellen,"Bietigheim-Bissingen, Ludwigsburg (Kreis)",2025-05-18T19:35:03Z,N/A,N/A,N/A
Experte im Zentralen Sourcing Management (w/m/d),Landesbank Hessen-Thüringen,IT-Stellen,"Offenbach am Main, Hessen",2025-05-18T19:34:53Z,N/A,N/A,N/A
Praktikum Data Analytics & Digitalisierung,Lidl Stiftung & Co. KG,IT-Stellen,"Neckarsulm, Heilbronn (Kreis)",2025-05-18T19:42:36Z,N/A,N/A,N/A
Ausbildung zum/zur Fachinformatiker/in für Systemintegration für das Ausbildungsjahr 2025,Technologiezentrum Glehn GmbH,IT-Stellen,"Korschenbroich, Rhein-Kreis Neuss",2025-05-18T19:41:35Z,N/A,N/A,N/A
Payroll Spezialist SAP HCM (w/m/d),RTL Deutschland GmbH,IT-Stellen,"Köln, Nordrhein-Westfalen",2025-05-18T07:32:31Z,N/A,N/A,N/A
Consultant IT Device Management - Manufacturing IT (m/w/x),ZEISS,IT-Stellen,"Wetzlar, Lahn-Dill-Kreis",2025-05-18T07:43:14Z,N/A,N/A,N/A
Senior Architekt Embedded Elektronik Entwicklung (m/w/x),ZEISS,IT-Stellen,"Oberkochen, Ostalbkreis",2025-05-18T07:32:01Z,N/A,N/A,N/A
Senior Projektleiter Software Entwicklung Optics - in Voll- oder Teilzeit (m/w/x),ZEISS,IT-Stellen,"Oberkochen, Ostalbkreis",2025-05-18T07:32:18Z,N/A,N/A,N/A
Duales Studium Allgemeine Informatik / Cyber Security Bachelor of Science (m/w/d) Start: 2025,TransnetBW GmbH,IT-Stellen,"Stuttgart, Baden-Württemberg",2025-05-18T19:45:06Z,N/A,N/A,N/A
IT-Security-Engineer (m/w/d),PSI Software SE Grid & Energy Management,IT-Stellen,"Aachen, Aachen (Kreis)",2025-05-18T19:45:09Z,N/A,N/A,N/A
Senior Full-Stack Developer (m/w/d),SMC Deutschland GmbH,IT-Stellen,Deutschland,2025-05-18T19:35:33Z,N/A,N/A,N/A
Mitarbeiter Benutzerservice (m/w/d),DZ PRIVATBANK S.A.,IT-Stellen,"Frankfurt am Main, Hessen",2025-05-18T19:34:55Z,N/A,N/A,N/A
System Engineer / IT Consultant – Omnissa Workspace ONE (m/w/d),SVA System Vertrieb Alexander GmbH,IT-Stellen,"Aachen, Aachen (Kreis)",2025-05-18T19:41:38Z,N/A,N/A,N/A
Business Analyst (m/w/d) Sales/ Vertrieb,Getränke Hoffmann GmbH,IT-Stellen,Deutschland,2025-05-18T14:05:54Z,N/A,N/A,N/A
SAP Berechtigungsadministrator (m/w/d),Alfred Kärcher SE & Co. KG,IT-Stellen,Deutschland,2025-05-18T19:34:22Z,N/A,N/A,N/A
Manager IT-Controlling (w/m/d),EnBW Energie Baden-Württemberg AG,IT-Stellen,"Karlsruhe, Karlsruhe (Kreis)",2025-05-18T19:41:47Z,N/A,N/A,N/A
Applikationsspezialist:in / Consultant (m/w/d) klinische Arbeitsplatzsysteme – Patientendatenadministration (ambulant und stationär),Dedalus HealthCare GmbH,IT-Stellen,Deutschland,2025-05-18T19:35:14Z,N/A,N/A,N/A
Praktikum IT - Integration Google Workspace,Lidl Stiftung & Co. KG,IT-Stellen,"Neckarsulm, Heilbronn (Kreis)",2025-05-18T19:35:11Z,N/A,N/A,N/A
Softwareentwickler Sondermaschinenbau (m/w/d),Herbert Hänchen GmbH,IT-Stellen,"Ostfildern, Esslingen (Kreis)",2025-05-18T19:41:23Z,N/A,N/A,N/A
IT Service Manager:in Change and Release Management,Hannover Rück SE,IT-Stellen,"Hannover, Region Hannover (Kreis)",2025-05-18T19:49:44Z,N/A,N/A,N/A
Systems Engineer (m/w/d) für Batterieumrichter,Rolls-Royce Power Systems AG,IT-Stellen,"Berlin, Deutschland",2025-05-18T19:45:35Z,N/A,N/A,N/A
Senior Prozessintegrator (w/m/div.),Bosch Gruppe,IT-Stellen,"Dresden, Sachsen",2025-05-18T07:38:47Z,N/A,N/A,N/A
Senior IT-Servicetechniker (m/w/d),BWI GmbH,IT-Stellen,"Wunstorf, Region Hannover (Kreis)",2025-05-18T19:35:32Z,N/A,N/A,N/A
Salesforce Entwickler (m/w/d),pflege.de I web care LBJ GmbH,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:43:36Z,N/A,N/A,N/A
IT-Servicedesk-Mitarbeiter (m/w/d),NVL B.V. & Co. KG,IT-Stellen,"Hamburg, Deutschland",2025-05-18T19:41:44Z,N/A,N/A,N/A
(Senior) Softwareentwickler JAVA (w/m/d),PRODATO Integration Technology GmbH,IT-Stellen,"Nürnberg, Bayern",2025-05-18T19:34:44Z,N/A,N/A,N/A
SAP Inhouse Consultant – SD/LE-WM (m/w/d),Vitrulan Textile Glass GmbH,IT-Stellen,"Marktschorgast, Kulmbach (Kreis)",2025-05-18T19:35:28Z,N/A,N/A,N/A
Projektleiter (w/m/d) Infrastruktur und Straße,Drees & Sommer SE,IT-Stellen,"Hamburg, Deutschland",2025-05-18T07:33:25Z,N/A,N/A,N/A
Teamleitung (m/w/d/u) IT,Handwerkskammer Hannover,IT-Stellen,"Garbsen, Region Hannover (Kreis)",2025-05-18T19:45:01Z,N/A,N/A,N/A
Mitarbeiter IT-Service-Desk (m/w/d),DENIOS SE,IT-Stellen,"Bad Oeynhausen, Minden-Lübbecke (Kreis)",2025-05-18T19:41:45Z,N/A,N/A,N/A
Java und/oder C++ Entwickler (m/w/d) für ÖPNV Software,IVU Traffic Technologies AG,IT-Stellen,"Aachen, Aachen (Kreis)",2025-05-18T19:41:48Z,N/A,N/A,N/A
IT-Administrator in mit Schwerpunkt Netzwerktechnik,Pfennigparade SIGMETA GmbH,IT-Stellen,"Milbertshofen-Am Hart, München",2025-05-18T13:08:33Z,N/A,N/A,N/A
Gruppenleitung (m/w/d) Softwareentwicklung Industrial Engineering,Endress+Hauser Conducta GmbH+Co. KG,IT-Stellen,"Waldheim, Offenbach am Main",2025-05-18T07:32:44Z,N/A,N/A,N/A
Senior Software Engineer UI/UX (d/w/m),Leica Microsystems,IT-Stellen,"Heuchelheim, Gießen (Kreis)",2025-05-18T11:53:58Z,N/A,N/A,N/A
Key User ERP für Microsoft Dynamics NAV (m/w/d),Shofu Dental GmbH,IT-Stellen,"Hubbelrath, Düsseldorf",2025-05-18T14:10:51Z,N/A,N/A,N/A
