,title,company,category,location,created,salary_min,salary_max,contract_type,fixed_contract,limited_contract,contract_undefined
0,IPC System-/Netzwerkadministrator (m/w/d),b+m surface systems GmbH,IT-Stellen,"Eiterfeld, Fulda (Kreis)",2025-03-22 05:06:44+00:00,0,0,0,0.0,0.0,1.0
1,System Engineer (m/w/d) für Mainframe,BAYOONET AG,IT-Stellen,"München, München (Kreis)",2025-03-22 05:07:01+00:00,0,0,0,0.0,0.0,1.0
2,SAP S/4HANA Project Manager - No Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Mitte, Stuttgart",2024-10-24 19:39:47+00:00,0,0,permanent,1.0,0.0,0.0
3,Fullstack-Entwickler (m/w/d) für internationales Beratungshaus,Computer Futures,IT-Stellen,"Nürnberg, Bayern",2025-03-11 14:40:22+00:00,50000,100000,permanent,1.0,0.0,0.0
4,SAP IS-U (Senior) Consultant Unrivalled Progression Opportunities (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Gleißbühl, Nürnberg",2024-12-23 19:56:03+00:00,55000,120000,permanent,1.0,0.0,0.0
5,Principal Consultant - Data and Analytics,Turner & Townsend,IT-Stellen,"München, München (Kreis)",2025-03-14 00:28:42+00:00,0,0,0,0.0,0.0,1.0
6,Senior Analytics Engineer,Delivery Hero,IT-Stellen,"Berlin, Deutschland",2025-03-22 00:43:43+00:00,0,0,0,0.0,0.0,1.0
7,Workday Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Altendorf, Essen",2024-12-20 14:14:48+00:00,60000,120000,permanent,1.0,0.0,0.0
8,C++/ C# Softwareentwickler (m/w/d) für Hamburg,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Hamburg-Altstadt, Hamburg",2025-02-20 19:19:25+00:00,0,0,permanent,1.0,0.0,0.0
9,Microsoft Dynamics 365 CRM Consultant - Flexible Working Hours (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Hamburg-Altstadt, Hamburg",2024-12-20 14:14:45+00:00,60000,120000,permanent,1.0,0.0,0.0
10,Frontend Developer - Frankfurt,Noir,IT-Stellen,"Hausen, Frankfurt am Main",2025-03-17 14:48:43+00:00,60000,90000,permanent,1.0,0.0,0.0
11,SAP SD Berater (m/w/d) - Optimieren Sie Vertriebslösungen,Peak One GmbH,IT-Stellen,"Billwerder, Hamburg",2025-03-20 14:41:40+00:00,80000,100000,permanent,1.0,0.0,0.0
12,SAP SAP SEM-BCS / Group Reporting (Lead) Consultant - Remote / Low Travel (All Genders),The Recruitment 2.0 Group,IT-Stellen,"Innenstadt, Mannheim",2024-10-24 19:39:47+00:00,0,0,permanent,1.0,0.0,0.0
13,Inhouse Consultant für Materialstammdaten (w/m/div.),Bosch Group,IT-Stellen,"München, München (Kreis)",2025-02-28 00:04:05+00:00,0,0,0,0.0,0.0,1.0
14,SAP Berechtigungs- und Sicherheitsberater (m/w/d) - S/4HANA,Peak One GmbH,IT-Stellen,"Ludwigsburg (Kreis), Baden-Württemberg",2025-03-13 14:48:56+00:00,75000,120000,permanent,1.0,0.0,0.0
15,Senior Java Entwickler (m/w/d),Computer Futures,IT-Stellen,"Berlin, Deutschland",2025-03-07 14:31:57+00:00,80000,80000,permanent,1.0,0.0,0.0
16,Manager IT Infrastruktur (m/w/d),Peak One GmbH,IT-Stellen,"Bielefeld, Nordrhein-Westfalen",2025-03-04 14:24:58+00:00,55000,75000,permanent,1.0,0.0,0.0
17,(Senior) Softwareentwickler JAVA (m/w/d) dringend gesucht,RADAS Jobbörse & Personalvermittlung GmbH,IT-Stellen,"Handelshäfen, Bremen",2025-03-03 19:17:26+00:00,0,0,permanent,1.0,0.0,0.0
18,C++ Frontend Entwickler (m/w/d) mit Java Backend-Kenntnissen,Peak One GmbH,IT-Stellen,"Altstadt-Lehel, München",2025-03-18 14:41:54+00:00,72000,85000,permanent,1.0,0.0,0.0
19,Junior IT Technical Consultant,Zoho Corporation Europe,IT-Stellen,"Mitte, Stuttgart",2025-03-14 02:34:57+00:00,0,0,permanent,1.0,0.0,0.0
20,SAP SD Inhouse Consultant (m/w/d) - Ihre berufliche Chance,Peak One GmbH,IT-Stellen,"Wuppertal, Nordrhein-Westfalen",2025-03-03 14:23:46+00:00,80000,100000,permanent,1.0,0.0,0.0
